,date,VTI_adjclose,AGG_adjclose,SP_adjclose
291,20050301,43.37811661,60.85312653,1210.410034
292,20050302,43.34143066,60.77539063,1210.079956
293,20050303,43.38913345,60.82320023,1210.469971
294,20050304,43.82596207,60.99648285,1222.119995
295,20050307,43.93608475,61.01445007,1225.310059
296,20050308,43.65710449,60.88294601,1219.430054
297,20050309,43.26066208,60.51251602,1207.01001
298,20050310,43.18355942,60.4408493,1209.25
299,20050311,43.04408264,60.48862839,1200.079956
300,20050314,43.25697327,60.46469116,1206.829956
301,20050315,43.02939224,60.47668076,1197.75
302,20050316,42.65863037,60.51847458,1188.069946
303,20050317,42.71003723,60.50655365,1190.209961
304,20050318,42.61825562,60.46469116,1189.650024
305,20050321,42.48609924,60.46469116,1183.780029
306,20050322,42.12270355,60.13610077,1171.709961
307,20050323,42.08965683,60.21380234,1172.530029
308,20050324,42.09998703,60.24964142,1171.420044
309,20050328,42.13683701,60.13011932,1174.280029
310,20050329,41.78308105,60.09429169,1165.359985
311,20050330,42.35055161,60.27352905,1181.410034
312,20050331,42.32476807,60.30341721,1180.589966
313,20050401,42.14418793,60.65888977,1172.920044
314,20050404,42.28422546,60.58701706,1176.119995
315,20050405,42.41688156,60.46707153,1181.390015
316,20050406,42.51268387,60.62295532,1184.069946
317,20050407,42.74485016,60.55099487,1191.140015
318,20050408,42.37634277,60.55099487,1181.199951
319,20050411,42.3431778,60.66492081,1181.209961
320,20050412,42.56060028,60.83280563,1187.76001
321,20050413,42.09998703,60.91672516,1173.790039
322,20050414,41.60250854,60.97067261,1162.050049
323,20050415,40.93924332,61.18650818,1142.619995
324,20050418,41.0866394,61.11458588,1145.97998
325,20050419,41.43302155,61.19250488,1152.780029
326,20050420,40.84342575,61.23443604,1137.5
327,20050421,41.61725616,61.08455276,1159.949951
328,20050422,41.34457397,61.21054077,1152.119995
329,20050425,41.74991608,61.18650818,1162.099976
330,20050426,41.30035782,61.03663635,1151.829956
331,20050427,41.45143509,61.28842545,1156.380005
332,20050428,40.90239334,61.4442482,1143.219971
333,20050429,41.39248276,61.34238815,1156.849976
334,20050502,41.60250854,61.34473801,1162.160034
335,20050503,41.73148346,61.30268097,1161.170044
336,20050504,42.08891678,61.36880493,1175.650024
337,20050505,42.01154709,61.41100311,1172.630005
338,20050506,42.00049973,61.18238068,1171.349976
339,20050509,42.23264694,61.13428879,1178.839966
340,20050510,41.84940338,61.20039368,1166.219971
341,20050511,42.05945206,61.30268097,1171.109985
342,20050512,41.58041382,61.44697571,1159.359985
343,20050513,41.40354538,61.50717926,1154.050049
344,20050516,41.81624603,61.41695023,1165.689941
345,20050517,42.10367966,61.48913956,1173.800049
346,20050518,42.6121788,61.65153503,1185.560059
347,20050519,42.80379868,61.50113297,1191.079956
348,20050520,42.74485016,61.4290123,1189.280029
349,20050523,42.96593475,61.6334877,1193.859985
350,20050524,42.96593475,61.74172974,1194.069946
351,20050525,42.80747986,61.72971344,1190.01001
352,20050526,43.05068207,61.72372055,1197.619995
353,20050527,43.11700821,61.68159866,1198.780029
354,20050531,42.9990921,61.84997177,1191.5
355,20050601,43.35653305,62.30746078,1202.219971
356,20050602,43.42284775,62.26521301,1204.290039
357,20050603,43.17227554,62.10836029,1196.02002
358,20050606,43.24230957,62.12039566,1197.51001
359,20050607,43.27176285,62.28335571,1197.26001
360,20050608,43.17227554,62.16867828,1194.670044
361,20050609,43.39705658,62.1626358,1200.930054
362,20050610,43.34178543,61.92127228,1198.109985
363,20050613,43.44128799,61.86688232,1200.819946
364,20050614,43.58868027,61.78842926,1203.910034
365,20050615,43.64762497,61.75224304,1206.579956
366,20050616,43.85031509,61.93932724,1210.959961
367,20050617,44.03824615,61.93932724,1216.959961
368,20050620,44.03455734,61.80055237,1216.099976
369,20050621,43.94980621,62.05398178,1213.609985
370,20050622,44.03455734,62.31955719,1213.880005
371,20050623,43.50024796,62.25920486,1200.72998
372,20050624,43.13175583,62.35572433,1191.569946
373,20050627,43.17353439,62.40405273,1190.689941
374,20050628,43.61355209,62.22297668,1201.569946
375,20050629,43.53960037,62.19282913,1199.849976
376,20050630,43.32514191,62.39193726,1191.329956
377,20050701,43.48414612,62.16978073,1194.439941
378,20050705,43.86130905,61.93969727,1204.98999
379,20050706,43.52480698,62.03658676,1194.939941
380,20050707,43.6505394,62.11530304,1197.869995
381,20050708,44.1866951,62.01233292,1211.859985
382,20050711,44.50098801,62.01836777,1219.439941
383,20050712,44.57493591,61.98815536,1222.209961
384,20050713,44.63040543,61.90332413,1223.290039
385,20050714,44.6747818,61.90332413,1226.5
386,20050715,44.71175385,61.93359756,1227.920044
387,20050718,44.52687454,61.82463074,1221.130005
388,20050719,44.81899643,61.85492325,1229.349976
389,20050720,44.96317673,61.95789719,1235.199951
390,20050721,44.68957138,61.63696671,1227.040039
391,20050722,44.99279404,61.72776031,1233.680054
392,20050725,44.88184738,61.72776031,1229.030029
393,20050726,44.93730164,61.79442215,1231.160034
394,20050727,45.11479187,61.75802994,1236.790039
395,20050728,45.42539597,61.93969727,1243.719971
396,20050729,45.22202682,61.74593353,1234.180054
397,20050801,45.1591568,61.71009445,1235.349976
398,20050802,45.43648529,61.57642746,1244.119995
399,20050803,45.4734726,61.77690887,1245.040039
400,20050804,45.07041931,61.71617508,1235.859985
401,20050805,44.72283554,61.41242599,1226.420044
402,20050808,44.57493591,61.40031815,1223.130005
403,20050809,44.80418015,61.50963974,1231.380005
404,20050810,44.87075043,61.51571655,1229.130005
405,20050811,45.08892441,61.6796875,1237.810059
406,20050812,44.81160355,61.85585022,1230.390015
407,20050815,45.04085159,61.80116272,1233.869995
408,20050816,44.45291519,61.94696426,1219.339966
409,20050817,44.44920731,61.81946182,1220.23999
410,20050818,44.40115356,61.9895401,1219.02002
411,20050819,44.55644226,61.9287796,1219.709961
412,20050822,44.51577759,61.98345184,1221.72998
413,20050823,44.45661163,62.02597427,1217.589966
414,20050824,44.16451263,62.10492706,1209.589966
415,20050825,44.30501175,62.10492706,1212.369995
416,20050826,44.00181961,62.05632782,1205.099976
417,20050829,44.30871201,62.08062744,1212.280029
418,20050830,44.16080093,62.23250198,1208.410034
419,20050831,44.73023605,62.47547913,1220.329956
420,20050901,44.72655106,62.56084824,1221.589966
421,20050902,44.61191559,62.53035355,1218.02002
422,20050906,45.12958527,62.40849686,1233.390015
423,20050907,45.27748871,62.30482101,1236.359985
424,20050908,45.11849594,62.29871368,1231.670044
425,20050909,45.42539597,62.28044891,1241.47998
426,20050912,45.43648529,62.19511795,1240.560059
427,20050913,45.14806366,62.34751129,1231.199951
428,20050914,44.96317673,62.28044891,1227.160034
429,20050915,44.97426987,62.12808609,1227.72998
430,20050916,45.28119278,61.98791885,1237.910034
431,20050919,45.11479187,62.04276657,1231.02002
432,20050920,44.67108536,62.00006104,1221.339966
433,20050921,44.24585342,62.1402626,1210.199951
434,20050922,44.39744949,62.19511795,1214.619995
435,20050923,44.48620224,62.08539581,1215.290039
436,20050926,44.54192734,61.9330864,1215.630005
437,20050927,44.54192734,61.89041138,1215.660034
438,20050928,44.58277893,62.06104279,1216.890015
439,20050929,44.95431137,61.92089844,1227.680054
440,20050930,45.08433533,61.89041138,1228.810059
441,20051003,45.10663223,61.68066025,1226.699951
442,20051004,44.55678177,61.76623154,1214.469971
443,20051005,43.86946487,61.86408234,1196.390015
444,20051006,43.69114304,61.82129669,1191.48999
445,20051007,43.84718704,61.76012039,1195.900024
446,20051010,43.46450424,61.83966064,1187.329956
447,20051011,43.31590271,61.65623474,1184.869995
448,20051012,42.99267197,61.63177872,1177.680054
449,20051013,42.95922852,61.47274017,1176.839966
450,20051014,43.41621399,61.45439148,1186.569946
451,20051017,43.53137589,61.55224228,1190.099976
452,20051018,43.08926773,61.527771,1178.140015
453,20051019,43.72084808,61.6378479,1195.76001
454,20051020,43.06698608,61.65002823,1177.800049
455,20051021,43.24161148,61.79688263,1179.589966
456,20051024,43.99578857,61.66844559,1199.380005
457,20051025,43.88803864,61.48498154,1196.540039
458,20051026,43.72457123,61.24039841,1191.380005
459,20051027,43.14871979,61.38103485,1178.900024
460,20051028,43.82487869,61.28316498,1198.410034
461,20051031,44.02550888,61.27705002,1207.01001
462,20051101,44.10724258,61.29794312,1202.76001
463,20051102,44.63851547,61.24272537,1214.76001
464,20051103,44.80199051,61.03404999,1219.939941
465,20051104,44.79828262,61.09540939,1220.140015
466,20051107,44.83172226,61.10155869,1222.810059
467,20051108,44.80569458,61.31020737,1218.589966
468,20051109,44.91344452,61.15061951,1220.650024
469,20051110,45.18093872,61.36544037,1230.959961
470,20051111,45.38155365,61.42681885,1234.719971
471,20051114,45.28866959,61.21812439,1233.76001
472,20051115,45.11034775,61.30408096,1229.01001
473,20051116,45.19580078,61.44521713,1231.209961
474,20051117,45.61933136,61.46364594,1242.800049
475,20051118,45.91284943,61.43912888,1248.27002
476,20051121,46.11719131,61.63549805,1254.849976
477,20051122,46.3735466,61.79513168,1261.22998
478,20051123,46.58901978,61.75208664,1265.609985
479,20051125,46.65217209,61.80728912,1268.25
480,20051128,46.2323494,61.72143173,1257.459961
481,20051129,46.23978806,61.63549805,1257.47998
482,20051130,46.05774689,61.5065918,1249.47998
483,20051201,46.63360977,61.41972733,1264.670044
484,20051202,46.64847183,61.41972733,1265.079956
485,20051205,46.54444122,61.45052338,1262.089966
486,20051206,46.53700638,61.55527115,1263.699951
487,20051207,46.34009171,61.47520065,1257.369995
488,20051208,46.34753036,61.78936005,1255.839966
489,20051209,46.45526123,61.57991791,1259.369995
490,20051212,46.53329086,61.45052338,1260.430054
491,20051213,46.79707718,61.68459702,1267.430054
492,20051214,46.88993835,61.85099411,1272.73999
493,20051215,46.77105331,61.78936005,1270.939941
494,20051216,46.71533203,61.7832489,1267.319946
495,20051219,46.32151413,61.83250046,1259.920044
496,20051220,46.35868073,61.85099411,1259.619995
497,20051221,46.52587128,61.85099411,1262.790039
498,20051222,46.74133301,61.98651123,1268.119995
499,20051223,46.77105331,62.14665985,1268.660034
500,20051227,46.34225464,62.30686569,1256.540039
501,20051228,46.40948868,62.086689,1258.170044
502,20051229,46.23768997,62.12996674,1254.420044
503,20051230,46.06586456,62.20418167,1248.290039
504,20060103,46.74567032,62.2351265,1268.800049
505,20060104,47.08555603,62.38352966,1273.459961
506,20060105,47.05569077,62.38352966,1273.47998
507,20060106,47.51884842,62.2412796,1285.449951
508,20060109,47.6944046,62.30931854,1290.150024
509,20060110,47.76165009,62.18560028,1289.689941
510,20060111,47.89610291,62.1423378,1294.180054
511,20060112,47.62343979,62.30316162,1286.060059
512,20060113,47.67572403,62.47628403,1287.609985
513,20060117,47.50764084,62.50720978,1282.930054
514,20060118,47.36196136,62.58136749,1277.930054
515,20060119,47.61968613,62.48862839,1285.040039
516,20060120,46.78302002,62.51957321,1261.48999
517,20060123,46.92120743,62.51957321,1263.819946
518,20060124,47.06315613,62.41447449,1266.859985
519,20060125,46.95856476,62.25985336,1264.680054
520,20060126,47.35824585,62.06814575,1273.829956
521,20060127,47.73548126,62.14854813,1283.719971
522,20060130,47.78403854,62.15473938,1285.189941
523,20060131,47.54872894,62.16711044,1280.079956
524,20060201,47.73173523,61.99391556,1282.459961
525,20060202,47.30595016,62.0373497,1270.839966
